date,close
30/06/2010,109.26
01/07/2010,110.96
02/07/2010,109.14
06/07/2010,110.06
07/07/2010,113.43
08/07/2010,116.22
09/07/2010,117.26
12/07/2010,119.51
13/07/2010,123.65
14/07/2010,123.3
15/07/2010,122.06
16/07/2010,118.49
19/07/2010,119.94
20/07/2010,120.1
21/07/2010,117.43
22/07/2010,120.07
23/07/2010,118.87
26/07/2010,118.4
27/07/2010,117.13
28/07/2010,117.13
29/07/2010,116.86
30/07/2010,117.89
02/08/2010,120.07
03/08/2010,122.42
04/08/2010,127.58
05/08/2010,127.83
06/08/2010,128.32
09/08/2010,128.83
10/08/2010,130.0
11/08/2010,125.89
12/08/2010,126.56
13/08/2010,124.69
16/08/2010,126.07
17/08/2010,128.86
18/08/2010,129.65
19/08/2010,127.57
20/08/2010,127.76
23/08/2010,126.6
24/08/2010,124.53
25/08/2010,126.85
26/08/2010,124.86
27/08/2010,126.64
30/08/2010,123.79
31/08/2010,124.83
01/09/2010,132.49
02/09/2010,135.21
03/09/2010,138.79
07/09/2010,137.22
08/09/2010,139.14
09/09/2010,140.38
10/09/2010,142.44
13/09/2010,145.07
14/09/2010,145.75
15/09/2010,145.45
16/09/2010,148.13
17/09/2010,148.32
20/09/2010,151.3
21/09/2010,150.73
22/09/2010,151.83
23/09/2010,152.85
24/09/2010,160.73
27/09/2010,159.37
28/09/2010,159.7
29/09/2010,158.99
30/09/2010,157.06
01/10/2010,153.71
04/10/2010,155.39
05/10/2010,160.87
06/10/2010,155.4
07/10/2010,156.27
08/10/2010,155.55
11/10/2010,153.03
12/10/2010,156.48
13/10/2010,155.17
14/10/2010,155.53
15/10/2010,164.64
18/10/2010,163.56
19/10/2010,158.67
20/10/2010,158.67
21/10/2010,164.97
22/10/2010,169.13
25/10/2010,169.0
26/10/2010,169.95
27/10/2010,167.51
28/10/2010,166.84
29/10/2010,165.23
01/11/2010,162.58
02/11/2010,164.61
03/11/2010,168.47
04/11/2010,168.93
05/11/2010,170.77
08/11/2010,171.99
09/11/2010,170.27
10/11/2010,173.33
11/11/2010,170.37
12/11/2010,165.68
15/11/2010,158.9
16/11/2010,157.78
17/11/2010,158.35
18/11/2010,164.17
19/11/2010,164.82
22/11/2010,170.39
23/11/2010,168.2
24/11/2010,177.25
26/11/2010,177.2
29/11/2010,179.49
30/11/2010,175.4
01/12/2010,176.55
02/12/2010,176.53
03/12/2010,175.68
06/12/2010,178.05
07/12/2010,176.77
